quarter,CLLE-ES
Mon Aug 11 '14 - 20:25,99.000
Tue Aug 12 '14 - 13:04,99.000
Wed Aug 13 '14 - 13:03,99.000
Thu Aug 14 '14 - 13:41,99.000
Fri Aug 15 '14 - 13:03,99.000
Sat Aug 16 '14 - 13:03,99.000
Sun Aug 17 '14 - 13:04,99.000
Mon Aug 18 '14 - 13:03,99.000
Mon Aug 18 '14 - 17:15,97.500
Tue Aug 19 '14 - 15:57,99.000
Wed Aug 20 '14 - 13:03,99.000
Thu Aug 21 '14 - 13:04,99.000
Fri Aug 22 '14 - 13:06,99.000
Sat Aug 23 '14 - 13:03,99.000
Sun Aug 24 '14 - 13:03,99.000
Mon Aug 25 '14 - 13:04,99.000
Tue Aug 26 '14 - 13:03,99.000
Wed Aug 27 '14 - 13:04,99.000
Thu Aug 28 '14 - 13:03,99.000
Fri Aug 29 '14 - 13:03,99.000
