quarter,CLLE-ES
Sun Jul 27 '14 - 12:02,99.000
Mon Jul 28 '14 - 12:02,99.000
Tue Jul 29 '14 - 13:03,99.000
Wed Jul 30 '14 - 13:02,99.000
Thu Jul 31 '14 - 13:02,99.000
Fri Aug 01 '14 - 13:02,99.000
Sat Aug 02 '14 - 13:02,99.000
Sun Aug 03 '14 - 13:02,99.000
Mon Aug 04 '14 - 13:03,99.000
Tue Aug 05 '14 - 13:04,99.000
Wed Aug 06 '14 - 13:01,99.000
Mon Aug 11 '14 - 20:25,99.000
Tue Aug 12 '14 - 13:04,99.000
Wed Aug 13 '14 - 13:03,99.000
Thu Aug 14 '14 - 13:41,99.000
Fri Aug 15 '14 - 13:03,99.000
Sat Aug 16 '14 - 13:03,99.000
Sun Aug 17 '14 - 13:04,99.000
Mon Aug 18 '14 - 13:03,99.000
Mon Aug 18 '14 - 17:15,97.500
